CUST_ID,PRODUCT_ID,DEALERSHIP_ID,PAYMENT_DESC,PROMO_ID,DATE_ID,TRANSACTION_ID,EMPLOYEE_ID,TIME_KEY,SELLING_PRICE,COST,QUANTITY,DISCOUNT,HOLDBACK,REBATE,TRANSACTION_DATE
6759,86518,28,Cash,200,2452347,1046743,86495,72614,2495.00,53.00,1,4.00,67.00,40.00,2022-01-11 00:00:00
2362,86523,26,Bank Draft,200,2452347,1046554,86499,125613,2520.00,23.00,1,21.00,59.00,35.00,2022-01-11 00:00:00
3276,2004,3,Lease,200,2452348,1046609,86416,160754,54772.00,540.00,1,13.00,1350.00,810.00,2022-01-11 00:00:00
818,86538,13,Cash,200,2452348,1047771,86401,142816,359.00,7.00,1,15.00,9.00,5.00,2022-01-11 00:00:00
818,86531,13,Bank Draft,200,2452348,1047771,86401,185112,351.00,3.00,1,13.00,9.00,5.00,2022-01-11 00:00:00
3276,86541,3,Cash,200,2452348,1046609,86414,92150,730.00,14.00,1,16.00,18.00,11.00,2022-01-11 00:00:00
1323,2000,27,Other,200,2452349,1046667,86417,180247,93380.00,1840.00,1,13.00,2300.00,1380.00,2022-01-11 00:00:00
1323,86507,27,Lease,200,2452349,1046667,86417,83901,411.00,5.00,1,1.00,11.00,7.00,2022-01-11 00:00:00
2750,86542,13,Other,200,2452349,1046326,86438,142126,180.00,4.00,1,15.00,4.00,3.00,2022-01-11 00:00:00
2750,86511,13,Lease,200,2452349,1046326,86401,73546,4603.00,45.00,1,16.00,111.00,67.00,2022-01-11 00:00:00
4891,86514,24,Loan,200,2452350,1046413,86482,151708,1025.00,11.00,1,1.00,28.00,17.00,2022-01-11 00:00:00
4417,86529,12,Loan,200,2452350,1047502,86435,162511,1351.00,28.00,1,7.00,35.00,21.00,2022-01-11 00:00:00
4336,86524,13,Bank Draft,200,2452350,1047960,86438,135506,994.00,19.00,1,17.00,24.00,14.00,2022-01-11 00:00:00
4417,86505,12,Loan,200,2452350,1047502,86435,114722,695.00,7.00,1,16.00,17.00,10.00,2022-01-11 00:00:00
4891,86528,24,Bank Draft,200,2452350,1046413,86482,183925,453.00,4.00,1,19.00,11.00,6.00,2022-01-11 00:00:00
4891,86517,24,Lease,200,2452350,1046413,86443,80120,2655.00,27.00,1,11.00,67.00,40.00,2022-01-11 00:00:00
4336,86532,13,Bank Draft,200,2452350,1047960,86484,113448,206.00,2.00,1,1.00,6.00,3.00,2022-01-11 00:00:00
4417,86527,12,Loan,200,2452350,1047502,86435,113214,874.00,17.00,1,12.00,22.00,13.00,2022-01-11 00:00:00
5657,86542,27,Bank Draft,200,2452351,1047749,86417,175517,180.00,4.00,1,15.00,4.00,3.00,2022-01-11 00:00:00
5657,86523,27,Lease,200,2452351,1047749,86494,183643,2145.00,47.00,1,1.00,59.00,35.00,2022-01-11 00:00:00
5657,86516,27,Bank Draft,200,2452351,1047749,86494,140936,3952.00,85.00,1,4.00,106.00,63.00,2022-01-11 00:00:00
5657,86501,27,Lease,200,2452351,1047749,86417,182214,741.00,7.00,1,21.00,17.00,10.00,2022-01-11 00:00:00
5657,86512,27,Bank Draft,200,2452351,1047749,86417,100359,4303.00,45.00,1,6.00,113.00,68.00,2022-01-11 00:00:00
5657,2004,27,Other,200,2452351,1047749,86417,161229,54772.00,540.00,1,13.00,1350.00,810.00,2022-01-11 00:00:00
5657,86506,27,Cash,200,2452351,1047749,86494,82602,536.00,11.00,1,8.00,14.00,8.00,2022-01-11 00:00:00
5657,86520,27,Cash,200,2452351,1047749,86417,161431,96.00,4.00,2,23.00,4.00,3.00,2022-01-11 00:00:00
5657,86506,27,Bank Draft,200,2452351,1047749,86417,140514,536.00,11.00,1,8.00,14.00,8.00,2022-01-11 00:00:00
208,2001,12,Loan,200,2452352,1047249,86435,145657,83048.00,780.00,1,19.00,1950.00,1170.00,2022-01-11 00:00:00
5033,86536,28,Lease,200,2452353,1046486,86422,140910,1178.00,12.00,1,7.00,31.00,18.00,2022-01-11 00:00:00
3549,86540,3,Loan,200,2452353,1046495,86416,152731,1171.00,22.00,1,17.00,28.00,17.00,2022-01-11 00:00:00
3549,86510,3,Other,200,2452353,1046495,86414,143938,1125.00,22.00,1,12.00,28.00,17.00,2022-01-11 00:00:00
5033,2003,28,Bank Draft,200,2452353,1046486,86454,115604,85318.00,840.00,1,13.00,2100.00,1260.00,2022-01-11 00:00:00
6103,86512,29,Cash,200,2452353,1047641,86436,120023,4303.00,45.00,1,6.00,113.00,68.00,2022-01-11 00:00:00
6103,2000,29,Lease,200,2452353,1047641,86441,172601,93380.00,1840.00,1,13.00,2300.00,1380.00,2022-01-11 00:00:00
6103,86529,29,Bank Draft,200,2452353,1047641,86441,102431,1351.00,28.00,1,7.00,35.00,21.00,2022-01-11 00:00:00
5033,86509,28,Lease,200,2452353,1046486,86446,132103,654.00,12.00,1,18.00,16.00,9.00,2022-01-11 00:00:00
1218,2001,15,Other,200,2452353,1046982,86455,94749,83048.00,780.00,1,19.00,1950.00,1170.00,2022-01-11 00:00:00
3549,86531,3,Other,200,2452353,1046495,86416,75818,351.00,3.00,1,13.00,9.00,5.00,2022-01-11 00:00:00
3549,86521,3,Bank Draft,200,2452353,1046495,86416,144318,4651.00,43.00,1,23.00,106.00,64.00,2022-01-11 00:00:00
4300,86508,15,Loan,200,2452354,1046506,86444,121652,641.00,6.00,1,16.00,16.00,9.00,2022-01-11 00:00:00
4300,86527,15,Cash,200,2452354,1046506,86429,171329,874.00,17.00,1,12.00,22.00,13.00,2022-01-11 00:00:00
4300,86513,15,Cash,200,2452354,1046506,86455,173919,3294.00,35.00,1,6.00,86.00,52.00,2022-01-11 00:00:00
4300,86510,15,Loan,200,2452354,1046506,86444,115553,1125.00,22.00,1,12.00,28.00,17.00,2022-01-11 00:00:00
5583,86520,23,Other,200,2452354,1047234,86421,150112,191.00,4.00,1,23.00,4.00,3.00,2022-01-11 00:00:00
5583,86542,23,Cash,200,2452354,1047234,86470,170928,180.00,4.00,1,15.00,4.00,3.00,2022-01-11 00:00:00
5583,86508,23,Bank Draft,200,2452354,1047234,86458,142243,641.00,6.00,1,16.00,16.00,9.00,2022-01-11 00:00:00
4300,2000,15,Cash,200,2452354,1046506,86455,85748,93380.00,1840.00,1,13.00,2300.00,1380.00,2022-01-11 00:00:00
5583,86525,23,Bank Draft,200,2452354,1047234,86479,144544,230.00,4.00,1,17.00,6.00,3.00,2022-01-11 00:00:00
5583,86510,23,Loan,200,2452354,1047234,86470,84141,1125.00,22.00,1,12.00,28.00,17.00,2022-01-11 00:00:00
2769,86520,24,Other,200,2452354,1047498,86482,75405,191.00,4.00,1,23.00,4.00,3.00,2022-01-11 00:00:00
2769,86536,24,Cash,200,2452354,1047498,86443,103800,1178.00,12.00,1,7.00,31.00,18.00,2022-01-11 00:00:00
4300,86515,15,Other,200,2452354,1046506,86455,181805,2462.00,23.00,1,23.00,56.00,34.00,2022-01-11 00:00:00
6775,86525,4,Lease,200,2452355,1046815,86409,114202,230.00,4.00,1,17.00,6.00,3.00,2022-01-11 00:00:00
5614,2004,2,Bank Draft,200,2452355,1046854,86420,102035,54772.00,540.00,1,13.00,1350.00,810.00,2022-01-11 00:00:00
6775,86525,4,Cash,200,2452355,1046815,86412,74643,230.00,4.00,1,17.00,6.00,3.00,2022-01-11 00:00:00
6775,86504,4,Lease,200,2452355,1046815,86463,142940,596.00,13.00,1,2.00,16.00,10.00,2022-01-11 00:00:00
6775,86524,4,Bank Draft,200,2452355,1046815,86412,111315,994.00,19.00,1,17.00,24.00,14.00,2022-01-11 00:00:00
5614,86538,2,Other,200,2452355,1046854,86423,153658,359.00,7.00,1,15.00,9.00,5.00,2022-01-11 00:00:00
5614,86527,2,Bank Draft,200,2452355,1046854,86474,131709,874.00,17.00,1,12.00,22.00,13.00,2022-01-11 00:00:00
6214,86537,22,Loan,200,2452356,1046243,86471,131125,2035.00,45.00,1,.00,56.00,34.00,2022-01-11 00:00:00
6214,86522,22,Cash,200,2452356,1046243,86471,143015,2547.00,53.00,1,6.00,67.00,40.00,2022-01-11 00:00:00
6214,86528,22,Other,200,2452356,1046243,86477,104930,453.00,4.00,1,19.00,11.00,6.00,2022-01-11 00:00:00
4005,86514,23,Cash,200,2452357,1046441,86490,72227,1025.00,11.00,1,1.00,28.00,17.00,2022-01-11 00:00:00
4436,86522,22,Cash,125,2452357,1047565,86483,185350,2788.00,53.00,1,17.00,67.00,40.00,2022-01-11 00:00:00
4436,86501,22,Bank Draft,200,2452357,1047565,86404,121907,741.00,7.00,1,21.00,17.00,10.00,2022-01-11 00:00:00
5088,2001,10,Bank Draft,200,2452357,1046921,86461,72432,83048.00,780.00,1,19.00,1950.00,1170.00,2022-01-11 00:00:00
4436,86525,22,Other,200,2452357,1047565,86477,120542,230.00,4.00,1,17.00,6.00,3.00,2022-01-11 00:00:00
4005,86510,23,Other,200,2452357,1046441,86470,93452,1125.00,22.00,1,12.00,28.00,17.00,2022-01-11 00:00:00
5088,86504,10,Bank Draft,200,2452357,1046921,86448,160755,596.00,13.00,1,2.00,16.00,10.00,2022-01-11 00:00:00
4298,86501,16,Other,200,2452358,1047965,86489,163624,741.00,7.00,1,21.00,17.00,10.00,2022-01-11 00:00:00
4298,86540,16,Lease,200,2452358,1047965,86489,94041,1171.00,22.00,1,17.00,28.00,17.00,2022-01-11 00:00:00
3665,86507,1,Cash,200,2452358,1046361,86445,162257,411.00,5.00,1,1.00,11.00,7.00,2022-01-11 00:00:00
4298,86531,16,Other,200,2452358,1047965,86457,80529,351.00,3.00,1,13.00,9.00,5.00,2022-01-11 00:00:00
3665,86501,1,Bank Draft,200,2452358,1046361,86445,180232,741.00,7.00,1,21.00,17.00,10.00,2022-01-11 00:00:00
3665,86524,1,Cash,200,2452358,1046361,86445,93635,994.00,19.00,1,17.00,24.00,14.00,2022-01-11 00:00:00
3665,86530,1,Bank Draft,200,2452358,1046361,86445,72356,3119.00,62.00,1,12.00,78.00,47.00,2022-01-11 00:00:00
4298,86516,16,Bank Draft,200,2452358,1047965,86457,120528,3952.00,85.00,1,4.00,106.00,63.00,2022-01-11 00:00:00
3441,86528,8,Bank Draft,200,2452359,1046896,86428,185457,453.00,4.00,1,19.00,11.00,6.00,2022-01-11 00:00:00
3441,86507,8,Cash,200,2452359,1046896,86491,103940,411.00,5.00,1,1.00,11.00,7.00,2022-01-11 00:00:00
3441,86530,8,Loan,200,2452359,1046896,86491,183402,3119.00,62.00,1,12.00,78.00,47.00,2022-01-11 00:00:00
2624,86509,12,Bank Draft,200,2452359,1047006,86435,70328,629.00,12.00,1,13.00,16.00,9.00,2022-01-11 00:00:00
6591,2004,21,Loan,200,2452276,1046356,86465,132112,54772.00,540.00,1,13.00,1350.00,810.00,2022-01-10 00:00:00
4530,86502,13,Bank Draft,200,2452278,1046648,86438,172543,626.00,12.00,1,16.00,15.00,9.00,2022-01-10 00:00:00
4530,86539,13,Lease,200,2452278,1046648,86401,110524,1675.00,19.00,1,.00,46.00,28.00,2022-01-10 00:00:00
5042,86541,21,Bank Draft,200,2452279,1046685,86475,135031,730.00,7.00,1,16.00,18.00,11.00,2022-01-10 00:00:00
6001,86520,4,Bank Draft,200,2452279,1047994,86412,95031,191.00,4.00,1,23.00,4.00,3.00,2022-01-10 00:00:00
6001,86506,4,Lease,200,2452279,1047994,86466,81949,536.00,11.00,1,8.00,14.00,8.00,2022-01-10 00:00:00
5042,86527,21,Loan,200,2452279,1046685,86475,84413,437.00,17.00,2,12.00,22.00,13.00,2022-01-10 00:00:00
5042,86523,21,Cash,200,2452279,1046685,86447,85805,2590.00,23.00,1,24.00,59.00,35.00,2022-01-10 00:00:00
5042,86512,21,Lease,200,2452279,1046685,86447,143730,4303.00,45.00,1,6.00,113.00,68.00,2022-01-10 00:00:00
5042,86535,21,Loan,200,2452279,1046685,86447,155945,359.00,3.00,1,24.00,8.00,5.00,2022-01-10 00:00:00
977,2001,25,Lease,200,2452280,1047071,86452,134001,83048.00,780.00,1,19.00,1950.00,1170.00,2022-01-10 00:00:00
5819,2003,22,Bank Draft,200,2452280,1046630,86404,144023,85318.00,840.00,1,13.00,2100.00,1260.00,2022-01-10 00:00:00
5560,86525,8,Cash,200,2452282,1046763,86491,84354,230.00,4.00,1,17.00,6.00,3.00,2022-01-10 00:00:00
5560,86513,8,Other,200,2452282,1046763,86428,130907,3294.00,35.00,1,6.00,86.00,52.00,2022-01-10 00:00:00
5427,86512,27,Bank Draft,200,2452283,1047492,86494,140436,4303.00,45.00,1,6.00,113.00,68.00,2022-01-10 00:00:00
5427,86528,27,Loan,200,2452283,1047492,86494,102731,453.00,4.00,1,19.00,11.00,6.00,2022-01-10 00:00:00
5427,86540,27,Cash,200,2452283,1047492,86494,131419,1171.00,22.00,1,17.00,28.00,17.00,2022-01-10 00:00:00
5777,86507,3,Loan,200,2452284,1047693,86414,71227,411.00,5.00,1,1.00,11.00,7.00,2022-01-10 00:00:00
5791,86509,21,Loan,200,2452284,1046636,86465,111757,642.00,6.00,1,16.00,16.00,9.00,2022-01-10 00:00:00
5777,86523,3,Other,200,2452284,1047693,86414,85911,2567.00,23.00,1,23.00,59.00,35.00,2022-01-10 00:00:00
5791,86535,21,Cash,125,2452284,1046636,86475,162647,359.00,3.00,1,24.00,8.00,5.00,2022-01-10 00:00:00
5777,86525,3,Bank Draft,200,2452284,1047693,86416,160319,230.00,4.00,1,17.00,6.00,3.00,2022-01-10 00:00:00
5791,86522,21,Other,125,2452284,1046636,86475,154625,2628.00,27.00,1,10.00,67.00,40.00,2022-01-10 00:00:00
5791,86502,21,Cash,200,2452284,1046636,86447,140743,596.00,12.00,1,10.00,15.00,9.00,2022-01-10 00:00:00
5791,86530,21,Bank Draft,200,2452284,1046636,86465,90106,3119.00,62.00,1,12.00,78.00,47.00,2022-01-10 00:00:00
5777,86535,3,Lease,200,2452284,1047693,86416,91422,180.00,3.00,2,24.00,8.00,5.00,2022-01-10 00:00:00
4396,86531,7,Loan,200,2452285,1047753,86481,183508,351.00,3.00,1,13.00,9.00,5.00,2022-01-10 00:00:00
4396,2002,7,Bank Draft,200,2452285,1047753,86453,115109,50258.00,510.00,1,10.00,1275.00,765.00,2022-01-10 00:00:00
4396,2004,7,Bank Draft,200,2452285,1047753,86427,121507,54772.00,540.00,1,13.00,1350.00,810.00,2022-01-10 00:00:00
1657,2001,11,Bank Draft,200,2452286,1047120,86433,152759,83048.00,780.00,1,19.00,1950.00,1170.00,2022-01-10 00:00:00
6017,86501,23,Cash,200,2452286,1047834,86458,84859,741.00,7.00,1,21.00,17.00,10.00,2022-01-10 00:00:00
6017,86512,23,Other,200,2452286,1047834,86479,71408,4303.00,45.00,1,6.00,113.00,68.00,2022-01-10 00:00:00
6017,86528,23,Cash,125,2452286,1047834,86458,175752,453.00,4.00,1,19.00,11.00,6.00,2022-01-10 00:00:00
